"seed","acceptance_rate","agent_1_revisions","agent_2_revisions","agent_3_revisions","agent_4_revisions","group_relative_contribution","surplus","gini","success","experiment","game","treatment","steps","burn_in","thin","rounds","levels","beta","gamma","selection","initial","signal","diagnostic_every","run_id","retained_profiles","post_burn_profiles","snapshot_group_relative_contribution","snapshot_surplus","snapshot_gini","snapshot_success"
2026090700,0.135666666667,1452,1574,1495,1479,0.5925453125,1.3035996875,0.0466672083281,,"baseline","linear","FE",6000,2000,100,20,13,0,14,1,"random","mean",250,"baseline_linear_FE_2026090700",40,4000,0.5830078125,1.2826171875,0.0486630550304,
2026090701,0.0558333333333,1486,1482,1480,1552,0.8271578125,1.8197471875,0.0266402992489,,"baseline","linear","FE",6000,2000,100,20,13,0,14,1,"random","mean",250,"baseline_linear_FE_2026090701",40,4000,0.826979166667,1.81935416667,0.0266235642626,
2026090702,0.155666666667,1458,1506,1494,1542,0.625790625,1.376739375,0.0433228947337,,"baseline","linear","FE",6000,2000,100,20,13,0,14,1,"random","mean",250,"baseline_linear_FE_2026090702",40,4000,0.627630208333,1.38078645833,0.0428103131805,
2026090703,0.126833333333,1453,1499,1486,1562,0.648652213542,1.42703486979,0.034445360662,,"baseline","linear","FE",6000,2000,100,20,13,0,14,1,"random","mean",250,"baseline_linear_FE_2026090703",40,4000,0.641549479167,1.41140885417,0.0346893961564,
2026090704,0.1805,1515,1519,1459,1507,0.595573828125,1.31026242187,0.04689238477,,"baseline","linear","FE",6000,2000,100,20,13,0,14,1,"random","mean",250,"baseline_linear_FE_2026090704",40,4000,0.6026953125,1.3259296875,0.0481496146536,
2026090705,0.169666666667,1515,1488,1485,1512,0.604981640625,1.33095960937,0.0432349362706,,"baseline","linear","FE",6000,2000,100,20,13,0,14,1,"random","mean",250,"baseline_linear_FE_2026090705",40,4000,0.599869791667,1.31971354167,0.0443981382783,
2026090706,0.1065,1536,1438,1479,1547,0.630388671875,1.38685507812,0.0420213304357,,"baseline","linear","FE",6000,2000,100,20,13,0,14,1,"random","mean",250,"baseline_linear_FE_2026090706",40,4000,0.620989583333,1.36617708333,0.0418014493744,
2026090707,0.1275,1476,1563,1508,1453,0.617066536458,1.35754638021,0.0443006600384,,"baseline","linear","FE",6000,2000,100,20,13,0,14,1,"random","mean",250,"baseline_linear_FE_2026090707",40,4000,0.6153125,1.3536875,0.0425623857794,
2026090708,0.137833333333,1502,1504,1489,1505,0.628101822917,1.38182401042,0.0456965717778,,"baseline","linear","FE",6000,2000,100,20,13,0,14,1,"random","mean",250,"baseline_linear_FE_2026090708",40,4000,0.637786458333,1.40313020833,0.0448079908028,
2026090709,0.1385,1457,1468,1522,1553,0.623148177083,1.37092598958,0.0421225965274,,"baseline","linear","FE",6000,2000,100,20,13,0,14,1,"random","mean",250,"baseline_linear_FE_2026090709",40,4000,0.623138020833,1.37090364583,0.0430895004823,
